,Sector,Desarrollo económico,,,Pobreza y carencias 2010-2020,,,,,,,,,,,Salud,,,,,Educación,,,Medio Ambiente,,,,Seguridad Pública,,,,,,Vivienda,,,,,,INDEMUN,,,,,,,,,,
Clave,Municipio,PIB per capita,PIB Turístico per capita,Empleos formales generados ante el Imss,Rezago Educativo,Pobreza 2010-2020 CONEVAL,"Índice de rezago social
2010-2020","índice de marginación
2010-2020",Pobreza extrema,Acceso a la seguridad social,Calidad y espacios en la vivienda,Acceso a los servicios básicos en la vivienda,Acceso a la alimentación nutritiva y de calidad,Porcentaje de la Población con ingreso inferior a la línea de pobreza por ingresos,Carencia por acceso a los servicios de salud,Camas  por cada mil habitantes,Personal médico por cada mil habitantes,Población con derecho a los servicios de salud,"Población con discapacidad
2010-2020",Consultorios por cada mil habitantes,Grado promedio de escolaridad,"% Deserción
en educación media superior",% Analfabetismo,Plantas Tratadoras de Aguas residuales por cada mil habitantes,Toneladas de basura generadas por cada mil habitantes,"Sitios de disposición final 
(se los dan a un camión o carrito de la basura)
",Volumen tratado en las PTARs  (Millones m3),Incidencia Delictiva del Fuero Común,Tasa de Prevalencia delictiva por cada 1000 habitantes,Homicidios,Feminicidios,Violencia intrafamiliar,Robo a casa habitación,Hacinamiento,"% Viviendas con menor abatimiento de Agua potable
entubada",% Viviendas SIN sanitario ni drenaje,% Viviendas SIN Energia electrica,% Viviendas con menor disponibilidad de internet,% Viviendas con menor disponibilidad de computadora,Bando de Policía y Gobierno,"Personal municipal total por cada 1,000 habitantes",Participación de las mujeres en puestos de mando medio y superior en la administración pública municipal,Tasa de observaciones documentadas en las auditorías internas,Tasa de crecimiento real anual de la recaudación del impuesto predial,Tasa de crecimiento de asentamientos humanos en zonas de riesgo.,"Situación de limpia, recolección, traslado, tratamiento y disposición final de residuos",Situación de Mercados (centrales de abasto) y panteones,Tasa de abatimiento de calles sin revestimiento(revisión anual),Tasa de abatimiento de la carencia de servicio de agua entubada en las viviendas,Acciones del municipio para disminuir la vulnerabilidad ante el cambio climático
13001,Acatlán,,,,,,,,,,,,9.2,,,0.3,-26.944.494,0,,0.8,,-15.8,,0,,,0.0,,,,,,,,,,,,,,,,En rezago,,En rezago,En rezago,En rezago,En rezago,En rezago,
13002,Acaxochitlán,,,,,10.7,,Alto,4.4,,,,,11.2,,0.3,-2.170.846,0,,0.5,,-25.1,,0,-4000,-2.4,0.0,,,2,,19,,50.7,,,,5.89,2.7,,En rezago,En rezago,,,,,En rezago,En rezago,,
13003,Actopan,,,-0.05,-5.3,,,,,,,,,,,,,,,,,,,,-3000,,,,,6,,,,,,,,,,,En rezago,En rezago,,,En rezago,,,En rezago,,
13004,Agua Blanca de Iturbide,,,,,,,,,,,,,,,0.8,-29.089.499,0,,,,,,0,-250,,0.0,70.3,,,1,,,35.7,,,,,5.7,,En rezago,,,,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago
13005,Ajacuba,,,,,,,,,,,,5.5,,,0.3,-5.298.855,0,,0.8,,,,0,,,0.0,,,4,,,,,,,,,5.7,,,,,,En rezago,,,En rezago,,
13006,Alfajayucan,,,,,,,,,,,,,,5.1,0.7,-20.874.648,0,,,,,,0,,,0.0,,,,,,,,,,,9.43,5.1,,En rezago,,En rezago,,En rezago,En rezago,En rezago,En rezago,En rezago,
13007,Almoloya,,,,,,,,,,,,,,,0.4,-7.970.668,0,18.69,0.4,,,,,-2,,,26.2,,,,,,37.0,,,,,,En rezago,En rezago,En rezago,En rezago,,En rezago,En rezago,En rezago,En rezago,,
13008,Apan,,,,,,,,,,,,,,,,,,19.37,,,,,,,,,,,,3,,,,,,,,,,,En rezago,En rezago,En rezago,,,,En rezago,En rezago,
13009,El Arenal,,,-0.20,,,,,,,,,,,,0.2,,0,,0.6,,-33.9,,0,-22000,,0.0,,,,,,,,,,,,,,En rezago,,,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago
13010,Atitalaquia,,,,,,,,,,,,,,,0.3,-3.172.086,-413,,, ,-29.3,,,-2000,,,,,7,,22,,,,,,,,,En rezago,,,,,,,En rezago,En rezago,
13011,Atlapexco,,,-0.07,,,,,,,,14.7,22.1,,,,-5.047.446,0,,,,,,0,-1000,-4.3,0.0,,,2,,,8,37.2,,,,,5.4,,En rezago,,,,En rezago,,,En rezago,En rezago,
13012,Atotonilco el Grande,,,-0.42,,,,,,,,,,,9.8,0.6,-16.592.003,-256,,0.7,,,,0,-1000,-1.1,0.0,,,,,,,,,,,,5.9,,En rezago,En rezago,En rezago,En rezago,En rezago,,En rezago,En rezago,En rezago,
13013,Atotonilco de Tula,,,,-4.6,,,,,,,,19.2,1.3,,0.3,-8.003.842,,,0.4,,,,,,,-892.1,,,12,,17,,,,,,,,,En rezago,En rezago,,,En rezago,En rezago,En rezago,En rezago,En rezago,
13014,Calnali,,,,,,,,,,,,14.5,,,,-30.959.752,-1731,19.62,,,,,,,-6.5,0.3,36.8,,,,,,35.9,,,,5.95,3.9,En rezago,En rezago,En rezago,,En rezago,En rezago,,,En rezago,En rezago,
13015,Cardonal,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2,,,,,,,,,,,,En rezago,,En rezago,,,,En rezago,En rezago,En rezago
13016,Cuautepec de Hinojosa,,,,,1.4,,,,,,,,1.6,,0.6,-4.965.161,-64,,0.7,,,,,-3000,,,,,9,,40,,36.0,,,,,,,,,,,En rezago,,En rezago, ,,
13017,Chapantongo,,,,,,,,,,,,8.5,,6.1,0.8,-7.711.884,0,,,,,,,,,,,,,,,,,,,,,4.2,,En rezago,,En rezago,,,En rezago,,En rezago,En rezago,
13018,Chapulhuacán,,,-0.02,,,,,,,,,,,6.0,0.9,-34.929.922,-1455,,0.8,,-11.5,,,,,,54.0,,,,,,37.9,,,,,,,En rezago,,En rezago,,En rezago,,,En rezago,En rezago,
13019,Chilcuautla,,,-0.25,,,,,,,,,,,,,,0,,0.8,,,,,-12240,,,,,6,,,,,,,,,,,En rezago,,En rezago,,En rezago,En rezago,,,En rezago,
13020,Eloxochitlán,,,,,,,,,3.9,,,,,,,-115.696.105,0,,,,,,0,-234,,0.0,328.6,9.0,,,,3,,,,,,,,,,En rezago,En rezago,En rezago,,,En rezago,,En rezago
13021,Emiliano Zapata,,,,-5.9,,,,,,,,6.5,,,0.4,,0,19.88,0.4,,,,,,,,,,4,,,,,0.5,,0.4,,,,En rezago,,En rezago,,En rezago,En rezago,,En rezago,En rezago,En rezago
13022,Epazoyucan,,,,-4.8,,,,,,,,,1.1,,0.0,-614.062,0,,0.4,,,,0,,,-1.1,97.8,11.2,7,,,,,,,,,,,En rezago,,,,,,,,En rezago,
13023,Francisco I. Madero,,,,,,,,,,,,,,,0.5,-16.552.637,-588,,0.6,,,,0,,,0.0,,,4,,,2,,,,,,,,,,,,,,,En rezago,En rezago,
13024,Huasca de Ocampo,,,,-2.6,,,,,,,,5.9,,10.3,,0,0,,0.5,,-18.3,,,,,,160.7,9.1,,,38,,,,,,,,,En rezago,,,,En rezago,,,En rezago,En rezago,
13025,Huautla,,,,,,,Alto,,,,,,,,0.8,-14.511.682,-848,25.20,0.8,,,,,,,,30.7,,2,,,2,,,,,06.01,3.9,En rezago,En rezago,En rezago,,En rezago,En rezago,En rezago,,En rezago,,En rezago
13026,Huazalingo,,,,,,,Alto,,,,28.3,,,,0.2,-15.666.614,0,19.77,0.7,,,,,,,,20.0,,,,,2,41.2,,,,,,En rezago,En rezago,En rezago,En rezago,,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago
13027,Huehuetla,,,-0.02,,,Alto,Alto,,,,,16.6,,,,-21.885.669,0,18.32,,,,,,,,-0.1,83.3,,,,,,45.3,,,,6.20,2.6,,,,En rezago,En rezago,,,,,,
13028,Huejutla de Reyes,,,,-1.7,2.5,,,,17.1,,15.0,12.5,,7.9,,-32.339.231,,,,-0.8,,,0,,,-0.1,18.8,,,,,,36.8,,,,,4.7,,,En rezago,En rezago,,En rezago,,,En rezago,,
13029,Huichapan,,,,-5.6,,,,,,,,,,,,,,,,,,,,,,,54.5,7.5,,,41,,,,,,,,,En rezago,,,,En rezago,,,,En rezago,
13030,Ixmiquilpan,,,,-5.4,,,,,,,,,,,,-34.463.884,-14398,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,En rezago,
13031,Jacala de Ledezma,,,-0.06,,,,,,,,,,,,,-8.136.697,-530,,,,,,,,,,36.7,,,,,2,,,,,,5.8,,En rezago,En rezago,En rezago,,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago
13032,Jaltocán,,,,,,,,,,,16.8,,,,0.3,-19.005.987,0,,0.8,-1.1,,,0,,,0.0,33.3,,,,,1,36.4,,-0.9,,5.95,,,,,,,En rezago,En rezago,,,,En rezago
13033,Juárez Hidalgo,,,,,,,,,,,,,,,,-69.084.629,0,,,,,,0,"-1,076",,0.0,,,,,,1,,,,,,4.4,,En rezago,,En rezago,,En rezago,,,En rezago,En rezago,En rezago
13034,Lolotla,,,,,4.4,,Alto,,,,,,5.3,,0.5,-73.886.426,0,20.19,,,,,,,,,42.6,,,,,,39.1,,,,3.34,4.2,,En rezago,,,,En rezago,En rezago,,En rezago,En rezago,En rezago
