"NOM_MUN","Región","cve_mun","Agencias.de.cobranza.y.comunicaciones","Asociaciones.y.organizaciones.civiles","Comunicaciones.y.transportes.paqueteria","Consultorio.y.otros.servicios.medicos","Cultura.esparcimiento.y.deporte","Educacion.y.otros.sdervicios.educacion","Hospedaje","Servicios.de.belleza.y.funerarios","Servicios.y.mantenimiento.a.automoviles.diversos","Alimentos.y.bebidas","Alquileres.diversos","Banca.y.seguros","Comercio.minorista.diverso","Explotacion.de.animales","Industria.alimentaria.y.de.bebidas","Manufactura.metal.y.herreria","Maquiladoras.y.textileras","Minería.No.Metálicos","Organismos.operadores.de.agua","Servicios.de.publicidad","Tortillerías.y.panificadoras","Construccion","Fabricación.de.muebles","Fabricas.diversas","Industria.del.papel","Fabricación.de.material.de.construcción","Fertilizantes.y.agricultura","Generación..transmision..distribucion.energía.eléctrica","Industria.Química","Petroquimica","Turismo","Fabricación.de.carrocerías..y.equipo.de.transporte.etc","Fabricación.de.maquinaria","Fabricación.de.equipo.electrónico.y.eléctrico","Minería.Metálicos"
"Acatlán","Región Tulancingo",1,0.501615635,6.05945185,0.004247167,1.27732085,0.030222092,0.067294768,0.013576528,1.261602942,0.399847233,0.77367878,0.008914146,0.024934243,11.91479683,7.204610951,0.315334761,0.005739202,0.526652847,0.78537472,0.012844988,0.042063898,0.179546398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaxochitlán","Región Tulancingo",2,1.188294428,8.713520839,1.972006788,0.787033739,0.877028305,5.19131342,0.368155503,2.920880699,0.577420862,2.606741087,0.04138937,0.028943114,29.96459121,7.307702492,0.463261244,0.601239853,0.993788307,NA,0.279979974,0.135630103,1.624250079,0.001878471,68.9025805,0.270911487,0.005860057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actopan","Región Actopan",3,3.60745037,19.83291294,6.068204287,14.86163004,6.792893054,20.93606696,1.340915102,9.912687291,20.20719414,33.06473734,1.969684545,5.732096054,125.108608,0.088437856,0.799862296,1.590759219,14.8312515,0.002341783,4.244260943,1.14789081,16.21375581,0.05721268,1.780073819,1.080696765,0.456908908,0.241628694,0.16194332,0.077168867,0.131274568,59.42369364,0.08833272,NA,NA,NA,NA
"Agua Blanca de Iturbide","Región Tulancingo",4,0.620312388,5.179778416,0.03619073,0.302339928,0.028614095,0.809857912,1.372540282,0.330880358,1.29028417,0.787779574,0.00843986,0.053117081,7.800679323,12.39178145,0.026870135,0.048904574,0.011219214,NA,0.012161557,0.089608154,1.704656563,3.830459569,0.757920267,NA,NA,0.048762146,NA,NA,0.032564138,NA,NA,NA,NA,NA,NA
"Ajacuba","Región Tula",5,2.52904284,1.274433592,0.448571509,0.247787149,4.717369554,6.058631501,1.66765458,1.942581332,0.813158191,3.282791633,0.208494319,0.1457977,28.46755237,0.044795241,0.295016509,0.354464448,8.899728697,NA,0.352591947,0.061489932,3.528694463,0.605605542,0.176975681,0.016847979,NA,0.230567403,NA,NA,0.003142379,NA,NA,NA,NA,NA,NA
"Alfajayucan","Región Ixmiquilpan",6,0.225739233,7.950759385,0.010406121,0.804915294,3.373817775,1.084973683,0.033264291,1.33790436,0.811729143,1.239546433,0.021840838,0.169700545,9.681194034,20.85568367,0.697282251,0.224988856,0.088914503,0.198808719,0.462462391,0.02576553,2.227056762,NA,0.054482255,NA,0.049476878,0.007886728,NA,NA,NA,NA,NA,41.0291573,NA,NA,NA
"Almoloya","Región Apan",7,0.1035738,8.865194722,0.119363559,0.739960383,0.386994233,0.788407886,NA,0.220988886,0.484738307,1.546217462,0.360756913,0.015767075,10.44706258,NA,0.040378652,0.2322664,0.016859489,4.054112263,0.707558238,0.047287018,1.668340954,NA,2.755983014,0.116607971,0.012769317,NA,NA,NA,NA,NA,NA,87.1343355,NA,NA,NA
"Apan","Región Apan",8,1.261882453,8.766989514,3.080046275,5.080741324,3.845204814,6.999585569,0.318379172,4.128475188,6.565462379,10.74732932,0.941253191,3.239209382,77.23008237,0.170995854,0.970092093,1.591761177,0.312804994,NA,0.331328518,0.25878334,10.17947279,0.166970786,0.432361753,0.31127689,0.063384558,0.02586533,NA,2.569719351,62.70308474,NA,0.07590781,0.215294889,0.007629909,NA,NA
"Atitalaquia","Región Tula",10,1.830969144,7.246576488,33.40713771,0.900483401,1.16834903,15.72517378,0.67264755,1.810153021,3.088909337,4.930395527,17.25196707,1.235364237,37.09665383,0.330635728,20.21498847,11.10734718,0.07538418,0.794108194,0.478009715,0.046891149,4.437030959,4.041763662,0.239926338,0.012847975,0.122559693,0.057412792,NA,69.31338329,163.3789777,3.807004312,NA,NA,0.007527096,NA,NA
"Atlapexco","Región Huejutla",11,0.592783923,13.18787402,0.088536688,2.833129902,0.00437508,7.033378993,0.125785372,0.518056215,0.663092604,4.580486507,0.0051618,0.057753407,6.568393915,5.128101999,0.308588676,0.4785589,0.006861647,0.280755097,2.975192842,0.00608935,1.334973206,0.666368217,0.091563929,0.006673824,0.011693221,0.007455706,NA,0.208163985,NA,NA,NA,NA,NA,NA,NA
"Atotonilco de Tula","Región Tula",13,1.243387219,10.88555428,6.299869844,2.789959674,0.662192462,8.474359762,0.109818808,3.266784003,18.93942591,9.706121962,1.059548689,0.479363708,38.56696959,NA,0.290540984,46.0638869,1.408471704,4.667360423,5.779699731,0.085062379,5.718895919,0.338252143,0.360984766,0.342479433,0.191701253,200.4885531,NA,0.003379476,2.168199383,0.117494316,NA,0.511130594,NA,0.685613892,NA
"Atotonilco el Grande","Región Zacualtipán",12,0.899868242,8.71686256,0.148004048,3.299668828,0.131190817,3.919623575,1.238028165,6.531765825,4.006088164,5.093254407,0.671794086,0.947260248,31.40332407,9.237486162,0.769969084,0.799992138,0.630118102,NA,0.204835766,0.025677395,5.159493283,0.078053392,0.525530598,0.050030199,0.136965654,0.560468148,9.096650027,0.007254379,0.00233283,NA,NA,NA,NA,NA,NA
"Calnali","Región Huejutla",14,1.163997177,11.58638393,0.388940488,1.039861765,0.020333623,4.888905797,0.447584505,0.733862944,0.229224018,0.731178398,0.149937406,0.091335581,9.917769248,2.061710193,0.233905635,0.868808836,0.049828431,NA,0.384097444,0.531427406,0.913550004,NA,0.804560328,0.007754317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardonal","Región Ixmiquilpan",15,0.307288725,7.959930031,NA,0.037872234,0.036287425,2.348554438,163.0122933,0.056414401,0.025567104,1.121507787,0.010703144,0.067361281,0.591503122,0.588693167,0.034075794,0.027564054,0.056911309,1.924475869,6.169149864,0.113638022,0.215579932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.288776539,NA,NA
"Chapantongo","Región Huichapan",17,0.397146819,8.117305761,NA,0.789094949,0.130274111,2.352566039,0.131675458,0.542314962,0.308507952,0.640591171,0.153699811,0.167938321,5.018614618,0.033022579,0.068812998,0.098956667,1.319889965,0.276359516,0.615211977,NA,0.839784445,NA,0.170402747,0.270483315,NA,0.055501014,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chapulhuacán","Región Jacala",18,0.322483789,9.379921296,0.789103563,1.64252177,0.043716347,0.850869187,0.513025216,0.323530186,0.257057878,3.702644523,0.051577357,0.74851106,13.90844468,NA,0.018245307,0.033207089,0.017140611,NA,5.161198213,0.060845555,1.282540276,NA,0.228729579,NA,0.116840141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chilcuautla","Región Ixmiquilpan",19,0.053167561,6.708079025,0.005514563,0.625824547,0.088291481,1.821025336,0.863766917,0.163353992,0.248830819,1.531095954,NA,0.129499454,4.021667188,4.52695928,0.009212259,0.067066516,NA,NA,0.118599518,0.054616174,1.657776288,0.373546449,0.012832012,NA,0.026219506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuautepec de Hinojosa","Región Tulancingo",16,0.770551353,5.542950312,0.183475499,2.698513373,1.081150241,8.9605981,0.067799314,4.208836709,8.764115732,8.579936877,1.165888407,0.427519595,61.61184961,1.544058077,0.56690583,0.733478026,33.25491015,0.329653552,4.994073699,0.040885637,2.933632242,0.236684471,6.560453781,0.044809961,0.113056746,0.162193551,NA,0.004158364,0.009509174,NA,0.376094494,NA,0.009450828,NA,NA
