"CVEGEO","Sector--Municipio","Desarrollo económico--PIB per capita","Desarrollo económico--PIB Turístico per capita","Desarrollo económico--Empleos formales generados ante el Imss","Pobreza y carencias 2010-2020--Rezago Educativo","Pobreza y carencias 2010-2020--Pobreza 2010-2020 CONEVAL","Pobreza y carencias 2010-2020--Índice de rezago social
2010-2020","Pobreza y carencias 2010-2020--índice de marginación
2010-2020","Pobreza y carencias 2010-2020--Pobreza extrema","Pobreza y carencias 2010-2020--Acceso a la seguridad social","Pobreza y carencias 2010-2020--Calidad y espacios en la vivienda","Pobreza y carencias 2010-2020--Acceso a los servicios básicos en la vivienda","Pobreza y carencias 2010-2020--Acceso a la alimentación nutritiva y de calidad","Pobreza y carencias 2010-2020--Porcentaje de la Población con ingreso inferior a la línea de pobreza por ingresos","Pobreza y carencias 2010-2020--Carencia por acceso a los servicios de salud","Salud--Camas  por cada mil habitantes","Salud--Personal médico por cada mil habitantes","Salud--Población con derecho a los servicios de salud","Salud--Población con discapacidad
2010-2020","Salud--Consultorios por cada mil habitantes","Educación--Grado promedio de escolaridad","Educación--% Deserción
en educación media superior","Educación--% Analfabetismo","Medio Ambiente--Plantas Tratadoras de Aguas residuales por cada mil habitantes","Medio Ambiente--Toneladas de basura generadas por cada mil habitantes","Medio Ambiente--Sitios de disposición final","Medio Ambiente--Volumen tratado en las PTARs  (Millones m3)","Seguridad Pública--Incidencia Delictiva del Fuero Común","Seguridad Pública--Tasa de Prevalencia delictiva por cada 1000 habitantes","Seguridad Pública--Homicidios","Seguridad Pública--Feminicidios","Seguridad Pública--Violencia intrafamiliar","Seguridad Pública--Robo a casa habitación","Vivienda--Hacinamiento","Vivienda--% Viviendas con menor abatimiento de Agua potable
entubada","Vivienda--% Viviendas SIN sanitario ni drenaje","Vivienda--% Viviendas SIN Energia electrica","Vivienda--% Viviendas con menor disponibilidad de internet","Vivienda--% Viviendas con menor disponibilidad de computadora","INDEMUN--Bando de Policía y Gobierno","INDEMUN--Personal municipal total por cada 1,000 habitantes","INDEMUN--Participación de las mujeres en puestos de mando medio y superior en la administración pública municipal","INDEMUN--Tasa de observaciones documentadas en las auditorías internas","INDEMUN--Tasa de crecimiento real anual de la recaudación del impuesto predial","INDEMUN--Tasa de crecimiento de asentamientos humanos en zonas de riesgo.","INDEMUN--Situación de limpia, recolección, traslado, tratamiento y disposición final de residuos","INDEMUN--Situación de Mercados (centrales de abasto) y panteones","INDEMUN--Tasa de abatimiento de calles sin revestimiento(revisión anual)","INDEMUN--Tasa de abatimiento de la carencia de servicio de agua entubada en las viviendas","INDEMUN--Acciones del municipio para disminuir la vulnerabilidad ante el cambio climático"
"13001","Acatlán",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45697.0",NA,NA,"0.3","-26944494E7","0.0",NA,"0.8",NA,"-15.8",NA,"0.0",NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"En rezago",NA,"En rezago","En rezago","En rezago","En rezago","En rezago",NA
"13002","Acaxochitlán",NA,NA,NA,NA,"45848.0",NA,"1","45751.0",NA,NA,NA,NA,"45699.0",NA,"0.3","-21708460","0.0",NA,"0.5",NA,"-25.1",NA,"0.0","-4000.0","-2.4","0.0",NA,NA,"2.0",NA,"19.0",NA,"50.7",NA,NA,NA,"5.89","45840.0",NA,"En rezago","En rezago",NA,NA,NA,NA,"En rezago","En rezago",NA,NA
"13003","Actopan",NA,NA,"-0.05","-5.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-3000.0",NA,NA,NA,NA,"6.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"En rezago","En rezago",NA,NA,"En rezago",NA,NA,"En rezago",NA,NA
"13004","Agua Blanca de Iturbide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8","-29089499E7","0.0",NA,NA,NA,NA,NA,"0.0","-250.0",NA,"0.0","70.3",NA,NA,"1.0",NA,NA,"35.7",NA,NA,NA,NA,"45843.0",NA,"En rezago",NA,NA,NA,"En rezago","En rezago","En rezago","En rezago","En rezago","En rezago"
"13005","Ajacuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45782.0",NA,NA,"0.3","-52988550","0.0",NA,"0.8",NA,NA,NA,"0.0",NA,NA,"0.0",NA,NA,"4.0",NA,NA,NA,NA,NA,NA,NA,NA,"45843.0",NA,NA,NA,NA,NA,"En rezago",NA,NA,"En rezago",NA,NA
"13006","Alfajayucan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45662.0","0.7","-20874648E7","0.0",NA,NA,NA,NA,NA,"0.0",NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.43","45662.0",NA,"En rezago",NA,"En rezago",NA,"En rezago","En rezago","En rezago","En rezago","En rezago",NA
"13007","Almoloya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4","-79706680","0.0","18.69","0.4",NA,NA,NA,NA,"-2.0",NA,NA,"45714.0",NA,NA,NA,NA,NA,"37.0",NA,NA,NA,NA,NA,"En rezago","En rezago","En rezago","En rezago",NA,"En rezago","En rezago","En rezago","En rezago",NA,NA
"13008","Apan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"En rezago","En rezago","En rezago",NA,NA,NA,"En rezago","En rezago",NA
"13009","El Arenal",NA,NA,"-0.20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2",NA,"0.0",NA,"0.6",NA,"-33.9",NA,"0.0","-22000.0",NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"En rezago",NA,NA,"En rezago","En rezago","En rezago","En rezago","En rezago","En rezago","En rezago"
"13010","Atitalaquia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3","-31720860","-413.0",NA,NA,NA,"-29.3",NA,NA,"-2000.0",NA,NA,NA,NA,"7.0",NA,"22.0",NA,NA,NA,NA,NA,NA,NA,NA,"En rezago",NA,NA,NA,NA,NA,NA,"En rezago","En rezago",NA
